house_number,plant_name,planting_date,date,time,indoor_temperature,indoor_humidity,outdoor_temperature,outdoor_humidity,wind_direction,wind_direction,wind_speed,wind_speed,inner_left_window_top_opening,inner_left_window_bottom_opening,inner_right_window_top_opening,inner_right_window_bottom_opening,outer_left_window_top_opening,outer_left_window_bottom_opening,outer_right_window_top_opening,outer_right_window_bottom_opening,temperature,humidity,solar_irradiance,solar_time,rain_per_hour,snow_per_hour
,,,2025-06-10,04:05:05,22.1,85.5,,,,11,,0.71,,,,,,,,,20.12,90.86,,,0.0,0.0
,,,2025-06-10,04:10:03,22.2,85.3,,,,10,,0.72,,,,,,,,,20.13,90.77,,,0.0,0.0
,,,2025-06-10,04:15:02,22.1,85.4,,,,10,,0.73,,,,,,,,,20.14,90.74,,,0.0,0.0
,,,2025-06-10,04:20:00,22.1,85.5,,,,9,,0.73,,,,,,,,,20.14,90.75,,,0.0,0.0
,,,2025-06-10,04:25:09,22.0,85.3,,,,7,,0.73,,,,,,,,,20.14,90.8,,,0.0,0.0
,,,2025-06-10,04:30:07,22.0,85.5,,,,3,,0.74,,,,,,,,,20.14,90.9,,,0.0,0.0
,,,2025-06-10,04:35:05,22.0,85.5,,,,0,,0.74,,,,,,,,,20.13,91.02,,,0.0,0.0
,,,2025-06-10,04:40:04,22.0,85.4,,,,34,,0.74,,,,,,,,,20.13,91.17,,,0.0,0.0
,,,2025-06-10,04:45:02,22.1,85.6,,,,33,,0.75,,,,,,,,,20.12,91.35,,,0.0,0.0
,,,2025-06-10,04:50:00,22.2,85.7,,,,33,,0.76,,,,,,,,,20.11,91.55,,,0.0,0.0
,,,2025-06-10,04:55:09,22.3,85.4,,,,32,,0.78,,,,,,,,,20.11,91.77,,,0.0,0.0
,,,2025-06-10,05:00:07,22.2,85.1,,,,32,,0.8,,,,,,,,,20.1,92.0,,,0.0,0.0
,,,2025-06-10,05:05:06,22.2,85.1,,,,32,,0.84,,,,,,,,,20.1,92.24,,,0.0,0.0
,,,2025-06-10,05:10:04,22.0,84.8,,,,31,,0.9,,,,,,,,,20.09,92.47,,,0.0,0.0
,,,2025-06-10,05:15:02,21.8,84.9,,,,30,,0.97,,,,,,,,,20.09,92.7,,,0.0,0.0
,,,2025-06-10,05:20:00,21.8,85.5,,,,29,,1.06,,,,,,,,,20.09,92.91,,,0.0,0.0
,,,2025-06-10,05:25:09,21.7,85.7,,,,28,,1.16,,,,,,,,,20.09,93.1,,,0.0,0.0
,,,2025-06-10,05:30:08,21.6,85.9,,,,26,,1.26,,,,,,,,,20.1,93.25,,,0.0,0.0
,,,2025-06-10,05:35:06,21.8,86.1,,,,24,,1.37,,,,,,,,,20.11,93.36,,,0.0,0.0
,,,2025-06-10,05:40:04,22.0,86.0,,,,23,,1.47,,,,,,,,,20.12,93.42,,,0.0,0.0
,,,2025-06-10,05:45:03,22.3,85.9,,,,22,,1.57,,,,,,,,,20.13,93.43,,,0.0,0.0
,,,2025-06-10,05:50:01,22.6,85.6,,,,21,,1.66,,,,,,,,,20.15,93.36,,,0.0,0.0
,,,2025-06-10,05:55:10,22.8,85.1,,,,20,,1.74,,,,,,,,,20.17,93.22,,,0.0,0.0
,,,2025-06-10,06:00:08,23.0,84.1,,,,20,,1.8,,,,,,,,,20.2,93.0,,0.0,0.0,0.0
,,,2025-06-10,06:05:06,23.2,83.5,,,,20,,1.85,,,,,,,,,20.23,92.69,,-0.02,0.0,0.0
,,,2025-06-10,06:10:05,23.3,83.0,,,,20,,1.89,,,,,,,,,20.26,92.3,0.06,-0.03,0.0,0.0
,,,2025-06-10,06:15:03,23.5,82.5,,,,20,,1.94,,,,,,,,,20.3,91.83,0.08,-0.04,0.0,0.0
,,,2025-06-10,06:20:01,23.6,81.9,,,,20,,1.98,,,,,,,,,20.35,91.3,0.09,-0.04,0.0,0.0
,,,2025-06-10,06:25:00,23.7,81.3,,,,20,,2.01,,,,,,,,,20.4,90.72,0.11,-0.04,0.0,0.0
,,,2025-06-10,06:30:09,24.0,80.7,,,,20,,2.04,,,,,,,,,20.46,90.1,0.13,-0.04,0.0,0.0
,,,2025-06-10,06:35:07,24.3,79.6,,,,20,,2.08,,,,,,,,,20.53,89.44,0.16,-0.03,0.0,0.0
,,,2025-06-10,06:40:05,24.5,78.9,,,,20,,2.1,,,,,,,,,20.6,88.76,0.19,-0.01,0.0,0.0
,,,2025-06-10,06:45:14,24.8,77.8,,,,20,,2.13,,,,,,,,,20.69,88.07,0.23,0.01,0.0,0.0
,,,2025-06-10,06:50:02,24.9,77.4,,,,20,,2.15,,,,,,,,,20.78,87.37,0.27,0.03,0.0,0.0
,,,2025-06-10,06:55:00,25.1,76.9,,,,20,,2.18,,,,,,,,,20.88,86.68,0.32,0.06,0.0,0.0
,,,2025-06-10,07:00:09,25.5,75.7,,,,20,,2.2,,,,,,,,,21.0,86.0,0.37,0.1,0.0,0.0
,,,2025-06-10,07:05:07,26.1,73.6,,,,20,,2.21,,,,,,,,,21.13,85.34,0.43,0.14,0.0,0.0
,,,2025-06-10,07:10:06,26.5,71.3,,,,20,,2.22,,,,,,,,,21.26,84.71,0.49,0.2,0.0,0.0
,,,2025-06-10,07:15:15,27.2,69.6,,,,21,,2.22,,,,,,,,,21.41,84.1,0.55,0.27,0.0,0.0
,,,2025-06-10,07:20:02,27.7,67.3,,,,21,,2.21,,,,,,,,,21.55,83.5,0.61,0.34,0.0,0.0
,,,2025-06-10,07:25:00,28.3,64.8,,,,21,,2.19,,,,,,,,,21.71,82.92,0.67,0.42,0.0,0.0
,,,2025-06-10,07:30:09,28.8,64.0,,,,22,,2.17,,,,,,,,,21.86,82.35,0.73,0.5,0.0,0.0
,,,2025-06-10,07:35:08,29.2,61.9,,,,22,,2.15,,,,,,,,,22.01,81.78,0.8,0.58,0.0,0.0
,,,2025-06-10,07:40:06,29.8,60.8,,,,22,,2.13,,,,,,,,,22.16,81.22,0.86,0.66,0.0,0.0
,,,2025-06-10,07:45:04,30.1,58.9,,,,22,,2.12,,,,,,,,,22.31,80.67,0.93,0.74,0.0,0.0
