date,time,stn_id,wind_direction,wind_speed,temperature,humidity,rain_day,snow_day,solar_irradiance,solar_time
2025-07-10,10:00:00,181,2,2.8,30.1,43.0,,,2.63,1.0
2025-07-10,11:00:00,181,9,2.1,31.9,35.0,,,3.10,1.0
2025-07-10,12:00:00,181,11,4.0,33.0,43.0,,,3.43,1.0
2025-07-10,13:00:00,181,9,3.0,33.4,32.0,,,3.56,1.0
2025-07-10,14:00:00,181,7,3.1,34.0,34.0,,,3.49,1.0
2025-07-10,15:00:00,181,14,3.7,34.5,37.0,,,3.19,1.0
2025-07-10,16:00:00,181,11,2.2,34.9,36.0,,,2.68,1.0
2025-07-10,17:00:00,181,9,3.1,34.3,39.0,,,2.04,1.0
2025-07-10,18:00:00,181,16,1.8,33.8,42.0,,,1.34,1.0
2025-07-10,19:00:00,181,18,1.9,32.2,47.0,,,0.62,1.0
2025-07-10,20:00:00,181,18,3.0,30.9,46.0,,,0.10,0.4
2025-07-10,21:00:00,181,16,2.0,29.6,48.0,,,,
2025-07-10,22:00:00,181,16,3.2,29.0,44.0,,,,
2025-07-10,23:00:00,181,16,2.5,28.2,41.0,,,,
2025-07-11,00:00:00,181,14,1.5,26.8,45.0,,,,
2025-07-11,01:00:00,181,11,1.3,25.8,46.0,,,,
2025-07-11,02:00:00,181,7,0.9,23.9,54.0,,,,
2025-07-11,03:00:00,181,11,1.1,24.1,53.0,,,,
2025-07-11,04:00:00,181,7,2.5,23.6,59.0,,,,
2025-07-11,05:00:00,181,9,2.0,23.1,59.0,,,,
2025-07-11,06:00:00,181,7,2.4,22.5,65.0,,,0.05,0.2
2025-07-11,07:00:00,181,7,3.2,23.8,59.0,,,0.50,1.0
2025-07-11,08:00:00,181,7,3.5,25.0,59.0,,,1.20,1.0
2025-07-11,09:00:00,181,5,4.3,26.7,56.0,,,1.86,1.0
2025-07-11,10:00:00,181,5,4.2,28.6,51.0,,,2.55,1.0
2025-07-11,11:00:00,181,14,3.5,30.8,40.0,,,3.09,1.0
2025-07-11,12:00:00,181,14,2.8,31.8,40.0,,,3.42,1.0
2025-07-11,13:00:00,181,9,3.9,32.4,40.0,,,3.54,1.0
2025-07-11,14:00:00,181,11,2.8,32.8,38.0,,,3.47,1.0
2025-07-11,15:00:00,181,14,2.6,33.6,43.0,,,3.16,1.0
2025-07-11,16:00:00,181,7,4.4,33.4,37.0,,,2.69,1.0
2025-07-11,17:00:00,181,11,3.8,33.5,36.0,,,2.05,1.0
2025-07-11,18:00:00,181,11,3.8,32.9,34.0,,,1.36,1.0
2025-07-11,19:00:00,181,16,1.8,31.6,38.0,,,0.65,1.0
2025-07-11,20:00:00,181,16,2.0,29.7,42.0,,,0.10,0.4
2025-07-11,21:00:00,181,16,3.2,28.6,43.0,,,,
2025-07-11,22:00:00,181,16,2.7,27.8,42.0,,,,
2025-07-11,23:00:00,181,16,1.9,25.2,53.0,,,,
2025-07-12,00:00:00,181,16,2.7,25.3,50.0,,,,
2025-07-12,01:00:00,181,14,2.4,24.3,53.0,,,,
2025-07-12,02:00:00,181,2,0.7,21.1,75.0,,,,
2025-07-12,03:00:00,181,18,0.9,20.6,77.0,,,,
2025-07-12,04:00:00,181,0,0.0,19.6,77.0,,,,
2025-07-12,05:00:00,181,0,0.2,19.4,79.0,,,,
2025-07-12,06:00:00,181,0,0.1,19.9,82.0,,,0.06,0.2
2025-07-12,07:00:00,181,0,0.1,23.2,68.0,,,0.65,1.0
2025-07-12,08:00:00,181,5,2.8,24.4,67.0,,,1.12,1.0
2025-07-12,09:00:00,181,5,3.6,26.0,62.0,,,1.91,1.0
2025-07-12,10:00:00,181,16,2.5,28.3,50.0,,,2.68,1.0
2025-07-12,11:00:00,181,18,3.5,29.8,54.0,,,3.18,1.0
2025-07-12,12:00:00,181,18,3.5,29.8,48.0,,,3.15,1.0
2025-07-12,13:00:00,181,14,3.3,31.7,48.0,,,3.47,1.0
2025-07-12,14:00:00,181,14,3.2,31.7,48.0,,,3.60,1.0
2025-07-12,15:00:00,181,18,3.2,32.0,45.0,,,3.39,1.0
2025-07-12,16:00:00,181,18,3.8,32.2,48.0,,,2.85,1.0
2025-07-12,17:00:00,181,18,2.6,32.4,51.0,,,2.15,1.0
2025-07-12,18:00:00,181,20,2.9,31.8,48.0,,,1.41,1.0
2025-07-12,19:00:00,181,20,2.6,30.6,52.0,,,0.66,1.0
2025-07-12,20:00:00,181,18,1.6,27.5,66.0,,,0.09,0.3
2025-07-12,21:00:00,181,0,0.4,26.1,72.0,,,,
2025-07-12,22:00:00,181,36,0.6,25.5,74.0,,,,
2025-07-12,23:00:00,181,0,0.4,24.7,76.0,,,,
2025-07-13,00:00:00,181,0,0.0,23.3,86.0,,,,
2025-07-13,01:00:00,181,0,0.4,22.9,87.0,,,,
2025-07-13,02:00:00,181,0,0.0,22.3,89.0,,,,
2025-07-13,03:00:00,181,0,0.2,22.3,87.0,,,,
2025-07-13,04:00:00,181,0,0.0,21.9,91.0,,,,
2025-07-13,05:00:00,181,0,0.0,21.2,93.0,,,,
2025-07-13,06:00:00,181,0,0.2,21.6,92.0,,,0.02,0.0
2025-07-13,07:00:00,181,0,0.0,22.9,86.0,,,0.31,0.0
2025-07-13,08:00:00,181,32,1.2,24.7,80.0,,,0.74,0.4
2025-07-13,09:00:00,181,36,1.0,26.6,69.0,,,1.58,0.6
2025-07-13,10:00:00,181,0,0.4,27.5,65.0,,,0.86,0.0
2025-07-13,11:00:00,181,18,1.1,29.4,62.0,,,1.94,0.3
2025-07-13,12:00:00,181,32,0.9,29.6,59.0,,,2.17,0.3
2025-07-13,13:00:00,181,32,0.7,29.3,63.0,,,0.84,0.0
2025-07-13,14:00:00,181,34,3.2,28.5,70.0,0.0,,0.79,0.0
2025-07-13,15:00:00,181,34,4.2,27.7,64.0,0.0,,0.66,0.0
2025-07-13,16:00:00,181,0,0.1,26.6,75.0,0.0,,0.39,0.0
2025-07-13,17:00:00,181,29,0.9,24.7,86.0,0.4,,0.18,0.0
2025-07-13,18:00:00,181,18,0.8,23.6,92.0,1.0,,0.15,0.0
2025-07-13,19:00:00,181,29,0.5,23.3,93.0,1.7,,0.09,0.0
2025-07-13,20:00:00,181,0,0.0,22.2,91.0,2.2,,0.02,0.0
2025-07-13,21:00:00,181,11,1.5,21.8,93.0,2.3,,,
2025-07-13,22:00:00,181,2,0.8,21.4,94.0,2.3,,,
2025-07-13,23:00:00,181,2,2.4,21.6,94.0,2.3,,,
