# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202411101600 236  25  0.9  -9 -9.0   -9 1018.6 1020.2 -9  -9.0  20.8   7.0  41.0  10.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   0   -9 -         -9  -9  -9  5000  1.0 -9.00 -9  21.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411101700 236   7  0.5  -9 -9.0   -9 1019.0 1020.6 -9  -9.0  18.2   9.0  55.0  11.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   0   -9 -         -9  -9  -9  5000  0.7 -9.00 -9  15.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411101800 236   0  0.0  -9 -9.0   -9 1019.2 1020.8  3   0.5  14.3  10.1  76.0  12.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4917  0.0 -9.00 -9  12.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411101900 236   0  0.3  -9 -9.0   -9 1019.8 1021.4 -9  -9.0  13.0   9.9  82.0  12.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3958 -9.0 -9.00 -9  11.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411102000 236   0  0.1  -9 -9.0   -9 1020.2 1021.8 -9  -9.0  11.4   9.9  91.0  12.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2058 -9.0 -9.00 -9  10.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411102100 236   0  0.1  -9 -9.0   -9 1020.5 1022.1  2   1.3  10.7   9.2  91.0  11.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2138 -9.0 -9.00 -9   9.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411102200 236   0  0.0  -9 -9.0   -9 1020.6 1022.2 -9  -9.0   9.5   8.8  96.0  11.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1416 -9.0 -9.00 -9   8.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411102300 236   0  0.0  -9 -9.0   -9 1020.5 1022.1 -9  -9.0   8.7   8.2  97.0  10.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1256 -9.0 -9.00 -9   8.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411110000 236   0  0.1  -9 -9.0   -9 1020.1 1021.8  8  -0.3   7.8   7.3  97.0  10.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1025 -9.0 -9.00 -9   7.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411110100 236  29  0.6  -9 -9.0   -9 1020.2 1021.9 -9  -9.0   8.2   7.8  98.0  10.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9   990 -9.0 -9.00 -9   7.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
