#START7777
#2345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234
# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202409101700 236  34  1.0  -9 -9.0   -9 1010.3 1011.8 -9  -9.0  34.5  22.5  50.0  27.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4953  1.0 -9.00 -9  36.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409101800 236  34  0.6  -9 -9.0   -9 1010.5 1012.0  5  -0.2  33.3  23.6  57.0  29.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3926  1.0 -9.00 -9  34.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409101900 236  34  0.5  -9 -9.0   -9 1010.9 1012.4 -9  -9.0  30.7  24.3  69.0  30.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2818  0.4 -9.00 -9  32.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409102000 236  34  0.6  -9 -9.0   -9 1011.8 1013.3 -9  -9.0  29.5  24.5  75.0  30.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1703 -9.0 -9.00 -9  31.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409102100 236  34  0.6  -9 -9.0   -9 1012.4 1013.9  2   1.9  28.5  24.4  79.0  30.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1604 -9.0 -9.00 -9  30.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409102200 236   0  0.4  -9 -9.0   -9 1012.6 1014.1 -9  -9.0  27.3  23.5  80.0  28.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1549 -9.0 -9.00 -9  29.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409102300 236  34  0.5  -9 -9.0   -9 1012.9 1014.4 -9  -9.0  26.6  22.8  80.0  27.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1881 -9.0 -9.00 -9  28.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409110000 236   0  0.0  -9 -9.0   -9 1013.1 1014.6  2   0.7  25.5  22.7  85.0  27.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1826 -9.0 -9.00 -9  28.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409110100 236   0  0.0  -9 -9.0   -9 1013.4 1014.9 -9  -9.0  25.0  23.0  89.0  28.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1527 -9.0 -9.00 -9  27.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409110200 236   0  0.1  -9 -9.0   -9 1013.4 1014.9 -9  -9.0  24.6  22.8  90.0  27.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   0   -9 -         -9  -9  -9  1279 -9.0 -9.00 -9  27.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409110300 236   0  0.1  -9 -9.0   -9 1013.6 1015.1  2   0.5  24.9  22.7  88.0  27.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  1388 -9.0 -9.00 -9  27.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409110400 236   0  0.1  -9 -9.0   -9 1013.7 1015.2 -9  -9.0  24.5  22.9  91.0  27.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        6   0   -9 -         -9  -9  -9  1151 -9.0 -9.00 -9  27.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409110500 236   0  0.3  -9 -9.0   -9 1014.3 1015.8 -9  -9.0  24.8  23.0  90.0  28.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   2   16 -         -9  -9  -9  1158 -9.0 -9.00 -9  27.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409110600 236   0  0.2  -9 -9.0   -9 1014.4 1015.9  2   0.8  24.8  23.0  90.0  28.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10   30 -         -9  -9  -9  1188 -9.0 -9.00 -9  27.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409110700 236   0  0.3  -9 -9.0   -9 1015.0 1016.5 -9  -9.0  25.2  23.0  88.0  28.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   9   23 -         -9  -9  -9  1233  0.0 -9.00 -9  27.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409110800 236   5  0.5  -9 -9.0   -9 1014.9 1016.4 -9  -9.0  26.4  23.4  84.0  28.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   4   16 -         -9  -9  -9  1207  0.0 -9.00 -9  28.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409110900 236   0  0.3  -9 -9.0   -9 1015.2 1016.7  2   0.8  26.4  24.2  88.0  30.2    0.1    0.1    0.1   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   9   16 -         -9  -9  -9   601  0.0 -9.00 -9  28.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202409111000 236   0  0.3  -9 -9.0   -9 1015.4 1016.9 -9  -9.0  28.3  24.3  79.0  30.4    0.1    0.2    0.2   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   4   18 -         -9  -9  -9   970  0.0 -9.00 -9  30.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202409111100 236  23  0.7  -9 -9.0   -9 1015.3 1016.8 -9  -9.0  29.0  24.9  79.0  31.5   -9.0    0.2    0.2   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   8   17 -         -9  -9  -9   900  0.0 -9.00 -9  31.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409111200 236   0  0.3  -9 -9.0   -9 1014.7 1016.2  8  -0.5  30.9  25.7  74.0  33.0   -9.0    0.2    0.2   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   8   17 -         -9  -9  -9  1147  0.0 -9.00 -9  35.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409111300 236  34  0.7  -9 -9.0   -9 1014.1 1015.6 -9  -9.0  29.1  25.7  82.0  33.0    0.2    0.4    0.4   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   4   18 -         -9  -9  -9  1280  0.0 -9.00 -9  33.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202409111400 236  36  1.1  -9 -9.0   -9 1013.4 1014.9 -9  -9.0  31.2  24.5  68.0  30.7   -9.0    0.4    0.4   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   8   20 -         -9  -9  -9  3282  0.1 -9.00 -9  38.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409111500 236   2  0.8  -9 -9.0   -9 1012.8 1014.3  7  -1.9  32.4  24.7  64.0  31.1   -9.0    0.4    0.4   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   8   21 -         -9  -9  -9  2837  0.1 -9.00 -9  42.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409111600 236   9  0.5  -9 -9.0   -9 1012.9 1014.4 -9  -9.0  32.9  24.3  61.0  30.4   -9.0    0.4    0.4   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        7   4   18 -         -9  -9  -9  2987  0.7 -9.00 -9  41.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409111700 236  14  1.5  -9 -9.0   -9 1013.9 1015.4 -9  -9.0  27.9  23.7  78.0  29.3   -9.0    0.4    0.4   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   6   10 -         -9  -9  -9  4968  0.1 -9.00 -9  32.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409111800 236   0  0.1  -9 -9.0   -9 1014.4 1015.9  2   1.6  25.7  25.0  96.0  31.7    0.0    0.4    0.4   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   7    2 -         -9  -9  -9   974  0.0 -9.00 -9  28.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202409111900 236   0  0.0  -9 -9.0   -9 1014.5 1016.0 -9  -9.0  25.3  24.9  98.0  31.5    4.1    4.5    4.5   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   3    2 -         -9  -9  -9  1895  0.0 -9.00 -9  28.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202409112000 236   0  0.2  -9 -9.0   -9 1014.8 1016.3 -9  -9.0  25.3  25.1  99.0  31.9    0.2    4.7    4.7   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   1   -9 -         -9  -9  -9  1668 -9.0 -9.00 -9  27.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202409112100 236   0  0.2  -9 -9.0   -9 1015.3 1016.8  2   0.9  25.1  24.7  98.0  31.1    0.7    5.4    5.4   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   0   -9 -         -9  -9  -9  2973 -9.0 -9.00 -9  27.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202409112200 236   0  0.1  -9 -9.0   -9 1015.5 1017.0 -9  -9.0  25.1  24.7  98.0  31.1    0.1    5.5    5.5   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   3   34 -         -9  -9  -9  3873 -9.0 -9.00 -9  26.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202409112300 236   0  0.4  -9 -9.0   -9 1015.4 1016.9 -9  -9.0  25.0  24.8  99.0  31.3   -9.0    5.5    5.5   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10   11 -         -9  -9  -9  3074 -9.0 -9.00 -9  26.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409120000 236   0  0.0  -9 -9.0   -9 1015.2 1016.7  8  -0.1  25.0  24.8  99.0  31.3   -9.0    5.5    5.5   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   1   13 -         -9  -9  -9  2866 -9.0 -9.00 -9  26.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
