# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202504011600 131  27  2.3  -9 -9.0   -9 1012.4 1019.4 -9  -9.0  17.5  -6.4  19.0   3.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3629  1.0  2.28 -9  29.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504011700 131  27  1.5  -9 -9.0   -9 1011.9 1018.9 -9  -9.0  16.7  -7.7  18.0   3.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3690  1.0  1.60 -9  23.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504011800 131  25  1.1  -9 -9.0   -9 1011.9 1018.9  6  -1.3  16.3  -7.4  19.0   3.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4157  1.0  0.75 -9  16.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504011900 131  27  2.4  -9 -9.0   -9 1012.1 1019.2 -9  -9.0  14.0  -2.8  31.0   5.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2252  0.3  0.07 -9  12.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504012000 131  27  1.1  -9 -9.0   -9 1012.8 1019.9 -9  -9.0  12.1  -4.9  30.0   4.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2775 -9.0 -9.00 -9  10.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504012100 131  20  0.5  -9 -9.0   -9 1013.4 1020.5  2   1.6  11.3  -5.2  31.0   4.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2602 -9.0 -9.00 -9   8.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504012200 131  27  0.7  -9 -9.0   -9 1013.5 1020.7 -9  -9.0  10.6  -5.0  33.0   4.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2774 -9.0 -9.00 -9   7.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504012300 131  29  0.6  -9 -9.0   -9 1013.7 1020.9 -9  -9.0  10.1  -4.7  35.0   4.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2478 -9.0 -9.00 -9   6.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504020000 131   0  0.1  -9 -9.0   -9 1013.8 1021.0  2   0.5   8.9  -5.7  35.0   4.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2698 -9.0 -9.00 -9   5.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504020100 131  29  0.9  -9 -9.0   -9 1014.0 1021.2 -9  -9.0   8.3  -5.5  37.0   4.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2579 -9.0 -9.00 -9   5.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504020200 131  20  0.6  -9 -9.0   -9 1014.0 1021.2 -9  -9.0   7.4  -5.3  40.0   4.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2517 -9.0 -9.00 -9   4.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504020300 131  29  0.5  -9 -9.0   -9 1013.5 1020.8  8  -0.2   6.5  -5.8  41.0   4.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2577 -9.0 -9.00 -9   4.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504020400 131   0  0.2  -9 -9.0   -9 1013.3 1020.6 -9  -9.0   5.4  -4.4  49.0   4.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2341 -9.0 -9.00 -9   3.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504020500 131  27  0.6  -9 -9.0   -9 1013.0 1020.3 -9  -9.0   5.6  -3.7  51.0   4.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2120 -9.0 -9.00 -9   3.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504020600 131   0  0.2  -9 -9.0   -9 1013.0 1020.3  6  -0.5   4.2  -4.0  55.0   4.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2041 -9.0 -9.00 -9   3.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504020700 131  27  0.5  -9 -9.0   -9 1013.4 1020.7 -9  -9.0   5.0  -4.3  51.0   4.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2024  0.2  0.03 -9   4.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504020800 131  32  0.5  -9 -9.0   -9 1013.1 1020.4 -9  -9.0   6.4  -3.0  51.0   4.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1692  1.0  0.59 -9   9.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504020900 131  25  1.2  -9 -9.0   -9 1013.1 1020.3  4   0.0   8.6  -2.0  47.0   5.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1617  1.0  1.36 -9  16.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504021000 131  25  1.0  -9 -9.0   -9 1013.2 1020.3 -9  -9.0  11.1  -3.4  36.0   4.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2393  1.0  2.11 -9  23.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504021100 131  29  1.9  -9 -9.0   -9 1012.7 1019.8 -9  -9.0  13.5  -3.7  30.0   4.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2508  1.0  2.67 -9  29.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504021200 131  29  2.0  -9 -9.0   -9 1011.6 1018.6  7  -1.7  15.0  -4.3  26.0   4.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   0   -9 Ci         1   0   0  2402  1.0  3.01 -9  32.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504021300 131  29  1.9  -9 -9.0   -9 1010.6 1017.6 -9  -9.0  16.4  -4.2  24.0   4.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   0   -9 Cs         6   0   0  2425  0.9  2.95 -9  30.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504021400 131  29  1.9  -9 -9.0   -9 1009.5 1016.4 -9  -9.0  17.1  -3.1  25.0   4.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   2   15 ScCs       8   0   5  2701  0.6  2.17 -9  29.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504021500 131  29  2.7  -9 -9.0   -9 1009.2 1016.2  7  -2.4  16.2  -8.1  18.0   3.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   9   20 ScCs       7   0   5  4307  0.2  1.09 -9  23.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504021600 131  27  2.8  -9 -9.0   -9 1009.9 1017.0 -9  -9.0  13.4  -7.3  23.0   3.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10   25 As        -9   2   0  3705  0.0  0.78 -9  17.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504021700 131  27  2.1  -9 -9.0   -9 1010.1 1017.2 -9  -9.0  12.8  -6.7  25.0   3.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   9   15 ScAs      -9   2   5  3580  0.0  0.19 -9  14.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504021800 131  29  2.2  -9 -9.0   -9 1011.3 1018.4  2   2.2  10.6  -2.4  40.0   5.1    0.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 60 62 01                      10   9   10 ScAs      -9   2   5  2651  0.0  0.02 -9  12.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202504021900 131  14  2.3  -9 -9.0   -9 1011.2 1018.4 -9  -9.0   8.9   0.5  56.0   6.3    0.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   9    9 ScAs      -9   2   5  2326  0.0  0.00 -9   9.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202504022000 131  11  2.2  -9 -9.0   -9 1011.6 1018.8 -9  -9.0   8.5   0.4  57.0   6.3    0.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 21 62 01                       9   9   12 Sc         0   0   5  2279 -9.0 -9.00 -9   9.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202504022100 131   7  2.4  -9 -9.0   -9 1012.2 1019.4  2   1.0   8.0   1.1  62.0   6.6    0.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0  2 62 -                        9   9   10 Sc         0   0   5  1868 -9.0 -9.00 -9   9.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  1
202504022200 131   5  2.7  -9 -9.0   -9 1012.5 1019.7 -9  -9.0   7.5   1.5  66.0   6.8   -9.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   9   10 -         -9  -9  -9  1175 -9.0 -9.00 -9   8.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504022300 131   5  2.5  -9 -9.0   -9 1012.8 1020.1 -9  -9.0   6.5   1.4  70.0   6.8   -9.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   6   11 -         -9  -9  -9  1152 -9.0 -9.00 -9   7.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504030000 131   5  2.7  -9 -9.0   -9 1013.0 1020.3  2   0.9   5.6   1.3  74.0   6.7   -9.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        6   6   10 Sc         0   0   5   976 -9.0 -9.00 -9   6.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504030100 131   5  2.2  -9 -9.0   -9 1013.0 1020.3 -9  -9.0   5.1   1.2  76.0   6.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        6   6   11 -         -9  -9  -9  1144 -9.0 -9.00 -9   6.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504030200 131   5  2.0  -9 -9.0   -9 1012.8 1020.1 -9  -9.0   5.0   1.2  77.0   6.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 19                       0   0   -9 -         -9  -9  -9   884 -9.0 -9.00 -9   5.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504030300 131   7  1.4  -9 -9.0   -9 1012.9 1020.2  5  -0.1   4.8   1.1  77.0   6.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 10 11 19                       0   0   -9 -         -9  -9  -9   805 -9.0 -9.00 -9   5.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  1
202504030400 131   5  2.1  -9 -9.0   -9 1013.0 1020.3 -9  -9.0   4.1   0.9  80.0   6.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 10  0 19                       0   0   -9 -         -9  -9  -9   649 -9.0 -9.00 -9   4.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  1
202504030500 131   5  2.5  -9 -9.0   -9 1013.4 1020.7 -9  -9.0   4.0   1.0  81.0   6.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 10  0 19                       0   0   -9 -         -9  -9  -9   655 -9.0 -9.00 -9   4.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  1
202504030600 131   5  2.3  -9 -9.0   -9 1014.0 1021.3  2   1.1   3.7   1.0  83.0   6.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 10  0 19                       0   0   -9 -         -9  -9  -9   496 -9.0 -9.00 -9   4.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  1
202504030700 131   5  2.0  -9 -9.0   -9 1014.5 1021.9 -9  -9.0   2.5   0.3  86.0   6.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 10 11 19                       8   8    2 St         0   0   6   212  0.0  0.02 -9   5.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  1
